Nome do Jogo,Gênero,Plataforma,Classificação de Usuários,Vendas Globais,Lançamento no Brasil,Idade Recomendada,Preço
Jogo_0,Puzzle,Mobile,8.851441814744595,3.9812069938951486,Não,18.0,141.04439191322373
Jogo_1,Puzzle,PlayStation,9.576931629448387,1.3012338718634013,Não,13.0,116.92849535842262
Jogo_2,Esportes,Switch,2.7168849534717046,4.631714085069087,Sim,5.0,71.73951682814608
Jogo_3,Esportes,PlayStation,6.632024821823874,7.078355155082185,Não,9.0,39.96899512719578
Jogo_4,Esportes,Mobile,,8.952187983381023,Não,5.0,48.985231775779404
Jogo_5,Puzzle,Xbox,2.0211864932303705,6.656926959016858,Sim,5.0,78.69280614764959
Jogo_6,Puzzle,PlayStation,,9.89312993948992,Não,4.0,137.42844871348618
Jogo_7,Ação,PC,3.6352829224203127,3.6686048251431314,Não,5.0,166.55595032526003
Jogo_8,Puzzle,Xbox,6.540896358052767,2.6068066145950275,Sim,4.0,133.754747739958
Jogo_9,Puzzle,Switch,3.0382750483121073,1.6316868911551394,Não,13.0,147.8616783339111
Jogo_10,Ação,Xbox,4.420962699429351,6.695477197391801,Não,17.0,124.7959051518778
Jogo_11,Aventura,Xbox,1.915378652866448,1.4508555269438335,Não,13.0,186.78077512494164
Jogo_12,Esportes,Xbox,3.2303516222580013,7.875989283504922,Não,,120.44431364335054
Jogo_13,RPG,PC,9.470444675903668,5.748729967344761,Sim,12.0,73.6033926448955
Jogo_14,Ação,Mobile,8.223042264951784,7.603977474904732,Sim,9.0,55.468370624373584
Jogo_15,Aventura,Switch,9.384728462308415,0.5336670572229238,Não,6.0,89.01986356668615
Jogo_16,Esportes,PlayStation,1.2273769586778016,3.3806653842817713,Sim,,63.581279215012515
Jogo_17,Aventura,Switch,8.331073522661192,8.732360152296561,Não,7.0,87.84980917799294
Jogo_18,Ação,Xbox,5.272408348829087,1.4345375742618711,Não,11.0,137.04432437115636
Jogo_19,Esportes,Mobile,2.2465797338908815,9.054607315504972,Sim,14.0,102.60570911275775
Jogo_20,Aventura,PlayStation,8.999150952621736,6.646968480830219,Sim,8.0,42.155656654904234
Jogo_21,Puzzle,Mobile,3.449965837550749,6.915130612215685,Não,13.0,109.1809467525944
Jogo_22,Ação,PC,7.795056722514543,9.997905509425783,Sim,7.0,159.88246469986328
Jogo_23,Aventura,Xbox,5.4935277414964725,2.7848052247407873,Não,13.0,139.76542950205135
Jogo_24,Puzzle,Switch,2.1477011456590676,5.024591037344813,Não,5.0,116.45352925642769
Jogo_25,RPG,Switch,1.219523174026362,9.48207084693196,Não,7.0,66.01955505818522
Jogo_26,Esportes,Switch,7.099391987726711,7.192817890358787,Não,18.0,134.5272855539972
Jogo_27,Aventura,Xbox,3.1141983625822984,4.098945533218775,Sim,5.0,174.3184092767076
Jogo_28,Puzzle,PC,3.0255129352956875,4.499304018877497,Sim,6.0,179.22646605108764
Jogo_29,Esportes,PlayStation,6.673081812487823,5.694275934589863,Sim,6.0,58.682976873838285
